rank,selected_min_distance,low_mid_mass_threshold,mid_high_mass_threshold,low_opening,mid_opening,high_opening,low_estimated_mass,mid_estimated_mass,high_estimated_mass,low_role_score,mid_role_score,high_role_score,spacing_score,balance_score,min_distance_bonus,total_score
1808,1,3353.1562693889473,5314.827050173339,21,26,28,2400.9566708944935,2926.7307526493096,3137.7025274042826,0.8039626138386076,0.16245163596650222,0.06,0.25,0.5714285714285714,0.5,1.0842713926622527
1809,1,3353.1562693889473,5314.827050173339,24,28,38,2716.1728166774906,3137.7025274042826,4223.094015055,0.6271236605727392,0.23247866193756336,0.14658747521049556,0.5,0.5714285714285714,0.5,1.084046940577941
1810,1,3353.1562693889473,5314.827050173339,22,28,29,2506.028719488826,3137.7025274042826,3243.1884147817696,0.775016296083318,0.23247866193756336,0.03,0.25,0.2857142857142857,0.5,1.0839235294494527
1811,1,3353.1562693889473,5314.827050173339,29,33,41,3243.1884147817696,3674.525990350825,4554.376493416202,0.3312310163574198,0.506589391518617,0.16985618493146473,0.42857142857142855,0.6666666666666667,0.5,1.0836289737598823
1812,1,3353.1562693889473,5314.827050173339,28,33,36,3137.7025274042826,3674.525990350825,4002.2049711151362,0.4204675979724275,0.506589391518617,0.08850907591840888,0.2857142857142857,0.75,0.5,1.0834232082665962
1813,1,3353.1562693889473,5314.827050173339,29,48,49,3243.1884147817696,5323.227730622294,5432.320230462541,0.3312310163574198,0.31,0.3659096107974703,0.7142857142857143,0.09999999999999998,0.5,1.083283484297747
1814,1,3353.1562693889473,5314.827050173339,23,26,37,2611.1007680831576,2926.7307526493096,4112.649493085068,0.7160699783280289,0.16245163596650222,0.13254827556445223,0.5,0.4285714285714286,0.5,1.0832127470018404
1815,1,3353.1562693889473,5314.827050173339,26,29,46,2926.7307526493096,3243.1884147817696,5105.042730941801,0.5089407612024421,0.2224921749230939,0.26755727410970115,0.7142857142857143,0.30000000000000004,0.5,1.0831330673780943
1816,1,3353.1562693889473,5314.827050173339,34,36,37,3783.143219748014,4002.2049711151362,4112.649493085068,0.22312618117070995,0.6770383051533214,0.13254827556445223,0.10714285714285714,0.6666666666666667,0.5,1.0829508571265787
1817,1,3353.1562693889473,5314.827050173339,28,32,38,3137.7025274042826,3565.9087609536355,4223.094015055,0.4204675979724275,0.4401456862071123,0.14658747521049556,0.35714285714285715,0.8,0.5,1.0827721879614638
1818,1,3353.1562693889473,5314.827050173339,29,32,43,3243.1884147817696,3565.9087609536355,4775.163362258878,0.3312310163574198,0.4401456862071123,0.2390227529225463,0.5,0.4285714285714286,0.5,1.0825423126299356
1819,1,3353.1562693889473,5314.827050173339,24,31,34,2716.1728166774906,3457.2915315564455,3783.143219748014,0.6271236605727392,0.3269418071689211,0.06053673923124997,0.35714285714285715,0.6,0.5,1.0821736355443385
1820,1,3353.1562693889473,5314.827050173339,23,29,34,2611.1007680831576,3243.1884147817696,3783.143219748014,0.7160699783280289,0.2224921749230939,0.06053673923124997,0.39285714285714285,0.9090909090909091,0.5,1.0818911002745804
1821,1,3353.1562693889473,5314.827050173339,41,44,47,4554.376493416202,4885.556796680216,5214.135230782047,0.15009642180590252,0.5425946765571791,0.31692522730577444,0.21428571428571427,1.0,0.5,1.0817591828117132
1822,1,3353.1562693889473,5314.827050173339,31,32,47,3457.2915315564455,3565.9087609536355,5214.135230782047,0.25825557468797233,0.4401456862071123,0.31692522730577444,0.5714285714285714,0.125,0.5,1.0810407739151449
1823,1,3353.1562693889473,5314.827050173339,33,46,48,3674.525990350825,5105.042730941801,5323.227730622294,0.2648359790097974,0.40832998561419354,0.33917091854449977,0.5357142857142857,0.2666666666666667,0.5,1.0808606926923001
1824,1,3353.1562693889473,5314.827050173339,23,27,33,2611.1007680831576,3032.2166400267965,3674.525990350825,0.7160699783280289,0.21246514895203275,0.07660360219013457,0.35714285714285715,0.8,0.5,1.0807101580416245
1825,1,3353.1562693889473,5314.827050173339,21,26,31,2400.9566708944935,2926.7307526493096,3457.2915315564455,0.8039626138386076,0.16245163596650222,0.03,0.35714285714285715,1.0,0.5,1.0799856783765382
1826,1,3353.1562693889473,5314.827050173339,24,29,38,2716.1728166774906,3243.1884147817696,4223.094015055,0.6271236605727392,0.2224921749230939,0.14658747521049556,0.5,0.7142857142857143,0.5,1.079774739277757
