rank,low_opening,mid_opening,high_opening,selected_min_distance,low_estimated_mass,mid_estimated_mass,high_estimated_mass,low_role_score,mid_role_score,high_role_score,spacing_score,balance_score,distance_bonus,total_score
97,20,37,47,1,2295.884622300161,4112.649493085068,5214.135230782047,0.8286447201711097,0.7745998081650158,0.31692522730577444,0.9,0.7407407407407407,0.03333333333333333,2.02279938527153
98,21,40,48,1,2400.9566708944935,4443.983058994864,5323.227730622294,0.8039626138386076,0.7827156827998993,0.33917091854449977,0.9,0.5925925925925926,0.03333333333333333,2.0225529188867104
99,20,40,47,1,2295.884622300161,4443.983058994864,5214.135230782047,0.8286447201711097,0.7827156827998993,0.31692522730577444,0.9,0.5185185185185186,0.03333333333333333,2.022026371017524
100,20,39,44,1,2295.884622300161,4333.538537024931,4885.556796680216,0.8286447201711097,0.8797228141884053,0.22860603691808704,0.8,0.41666666666666663,0.03333333333333333,2.0186402379442683
101,21,41,49,1,2400.9566708944935,4554.376493416202,5432.320230462541,0.8039626138386076,0.7451854312392195,0.3659096107974703,0.9333333333333333,0.5714285714285714,0.03333333333333333,2.0135814653991067
102,20,39,45,1,2295.884622300161,4333.538537024931,4995.950231101554,0.8286447201711097,0.8797228141884053,0.21818932091362778,0.8333333333333334,0.48,0.03333333333333333,2.013423521939809
103,20,36,50,1,2295.884622300161,4002.2049711151362,5541.412730302787,0.8286447201711097,0.6770383051533214,0.38916986381603175,1.0,0.9333333333333333,0.03333333333333333,2.013186222473796
104,22,41,50,1,2506.028719488826,4554.376493416202,5541.412730302787,0.775016296083318,0.7451854312392195,0.38916986381603175,0.9333333333333333,0.6428571428571428,0.03333333333333333,2.0107525435195215
105,22,39,46,1,2506.028719488826,4333.538537024931,5105.042730941801,0.775016296083318,0.8797228141884053,0.26755727410970115,0.8,0.5833333333333333,0.03333333333333333,2.0106297177147576
106,20,41,48,1,2295.884622300161,4554.376493416202,5323.227730622294,0.8286447201711097,0.7451854312392195,0.33917091854449977,0.9333333333333333,0.5,0.03333333333333333,2.0086677366214953
107,21,38,46,1,2400.9566708944935,4223.094015055,5105.042730941801,0.8039626138386076,0.842161311176711,0.26755727410970115,0.8333333333333334,0.64,0.03333333333333333,2.006947865791686
108,23,39,47,1,2611.1007680831576,4333.538537024931,5214.135230782047,0.7160699783280289,0.8797228141884053,0.31692522730577444,0.8,0.6666666666666667,0.03333333333333333,2.0043846864888755
109,21,42,50,1,2400.9566708944935,4664.769927837539,5541.412730302787,0.8039626138386076,0.7076551796785397,0.38916986381603175,0.9666666666666667,0.5517241379310345,0.03333333333333333,2.0011899561837536
