opening,selected_min_distance,estimated_mass_ref,estimated_mass_min,estimated_mass_max,min_distance_to_train,distance_score,is_training_opening,low_fit_prob,low_coverage,low_distance_metric,low_order_metric,mid_fit_prob,mid_coverage,mid_distance_metric,mid_order_metric,high_fit_prob,high_coverage,high_distance_metric,high_order_metric,low_score,mid_score,high_score,best_role,best_role_order_score
40,1,4443.983058994864,2234.210567974903,6653.755550014825,0.0,0.0,True,0.021487095323333365,0.5100279857235348,0.0,0.0,0.878409861473692,1.0,0.0,0.8546381367059879,0.10010304320297458,0.47108297741063626,0.0,0.0726809316470059,0.04668513239379112,0.7152679349842025,0.18726390210405475,mid,0.8546381367059879
41,1,4554.375364937333,2291.7097767573127,6817.040953117353,1.0,0.2,False,0.013900529605259844,0.4841797793644018,0.2,0.0,0.8578092503922727,1.0,0.2,0.7370441518641733,0.12829022000246734,0.5257347670438987,0.2,0.1314779240679132,0.12491954419177553,0.7534801752333027,0.2955375324188756,mid,0.7370441518641733
42,1,4664.967004855952,2349.6292887492314,6980.304720962673,2.0,0.4,False,0.008823612016043068,0.4581426298124347,0.4,0.0,0.8273095310362109,1.0,0.4,0.6192378290666494,0.16386685694774608,0.5803793153346827,0.4,0.1903810854666752,0.20406445799790032,0.7896889924311227,0.40701142747427144,mid,0.6192378290666494
43,1,4775.559209014006,2407.7134245914185,7143.404993436594,2.0,0.4,False,0.005488675540104725,0.4320314752203377,0.4,0.0,0.7864191137054192,1.0,0.4,0.5014309052203201,0.2080922107544762,0.6349691415592321,0.4,0.24928454738983985,0.19890253575520023,0.7157918070925287,0.47150571530707897,mid,0.5014309052203201
44,1,4885.953207674778,2465.706504924632,7306.199910424925,1.0,0.2,False,0.003339277053291424,0.4059612537408161,0.2,0.0,0.7347993418292054,1.0,0.2,0.3838351172320923,0.26186138111750323,0.6894567649937909,0.2,0.3080824413839537,0.10924284987943036,0.5318429850533091,0.48932983048150197,mid,0.3838351172320923
45,1,4995.950231101554,2523.3528503896323,7468.547611813477,0.0,0.0,True,0.001982319579608031,0.38004690352657405,0.0,0.0,0.6727118263641635,1.0,0.0,0.26666220200886925,0.3253058540562284,0.7437947049146033,0.0,0.3666688989955652,0.019902972816749107,0.3461389858846945,0.5111127175670339,high,0.3666688989955652
46,1,5105.556264518288,2580.6579306312688,7630.454598405308,1.0,0.2,False,0.001144265104298446,0.3542859657523202,0.2,0.0,0.6013316451207317,1.0,0.2,0.14990578386777165,0.39752408977496984,0.7979851371470312,0.2,0.42504710806611407,0.10067499765289482,0.3751555733013515,0.6377616593540392,high,0.42504710806611407
47,1,5214.9080962427615,2637.7961054448824,7792.02008704064,2.0,0.4,False,0.0006397208306711658,0.32860005867913766,0.4,0.0,0.5230198439228728,1.0,0.4,0.03342015081166039,0.476340435246456,0.8520612696678853,0.4,0.4832899245941697,0.1815830323014581,0.40300471899351914,0.7671126648419663,high,0.4832899245941697
48,1,5324.003161178989,2694.7650306969635,7953.241291661014,2.0,0.4,False,0.00034549581861310826,0.3029902360892955,0.4,0.0,0.4414660885531329,1.0,0.4,0.0,0.5581884156282539,0.9060221699805808,0.4,0.5413959823619698,0.17763375624838182,0.36872570970897955,0.847004652094475,high,0.5413959823619698
49,1,5432.83889423099,2751.5623622540047,8114.115426207975,1.0,0.2,False,0.00018000638173612017,0.2774575517650615,0.2,0.0,0.36110550508134176,1.0,0.2,0.0,0.6387144885369221,0.9598669055885342,0.2,0.5993639151517548,0.08879680806974011,0.24530154082679193,0.8755860796762995,high,0.5993639151517548
